Protein IDs	Itaru contami list	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides CAPD3_4	Peptides CAPD3_5	Peptides CAPH_1	Peptides CAPH_2	Peptides SCC1_2	Peptides SCC1_3	Peptides SCC1_4	Peptides SMC2_1	Peptides SMC2_4	Peptides SMC5_1	Peptides SMC5_3	Razor + unique peptides CAPD3_4	Razor + unique peptides CAPD3_5	Razor + unique peptides CAPH_1	Razor + unique peptides CAPH_2	Razor + unique peptides SCC1_2	Razor + unique peptides SCC1_3	Razor + unique peptides SCC1_4	Razor + unique peptides SMC2_1	Razor + unique peptides SMC2_4	Razor + unique peptides SMC5_1	Razor + unique peptides SMC5_3	Unique peptides CAPD3_4	Unique peptides CAPD3_5	Unique peptides CAPH_1	Unique peptides CAPH_2	Unique peptides SCC1_2	Unique peptides SCC1_3	Unique peptides SCC1_4	Unique peptides SMC2_1	Unique peptides SMC2_4	Unique peptides SMC5_1	Unique peptides SMC5_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Experiment CAPD3_4	Experiment CAPD3_5	Experiment CAPH_1	Experiment CAPH_2	Experiment SCC1_2	Experiment SCC1_3	Experiment SCC1_4	Experiment SMC2_1	Experiment SMC2_4	Experiment SMC5_1	Experiment SMC5_3	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L CAPD3_4	Ratio H/L normalized CAPD3_4	Ratio H/L variability [%] CAPD3_4	Ratio H/L count CAPD3_4	Ratio H/L CAPD3_5	Ratio H/L normalized CAPD3_5	Ratio H/L variability [%] CAPD3_5	Ratio H/L count CAPD3_5	Ratio H/L CAPH_1	Ratio H/L normalized CAPH_1	Ratio H/L variability [%] CAPH_1	Ratio H/L count CAPH_1	Ratio H/L CAPH_2	Ratio H/L normalized CAPH_2	Ratio H/L variability [%] CAPH_2	Ratio H/L count CAPH_2	Ratio H/L SCC1_2	Ratio H/L normalized SCC1_2	Ratio H/L variability [%] SCC1_2	Ratio H/L count SCC1_2	Ratio H/L SCC1_3	Ratio H/L normalized SCC1_3	Ratio H/L variability [%] SCC1_3	Ratio H/L count SCC1_3	Ratio H/L SCC1_4	Ratio H/L normalized SCC1_4	Ratio H/L variability [%] SCC1_4	Ratio H/L count SCC1_4	Ratio H/L SMC2_1	Ratio H/L normalized SMC2_1	Ratio H/L variability [%] SMC2_1	Ratio H/L count SMC2_1	Ratio H/L SMC2_4	Ratio H/L normalized SMC2_4	Ratio H/L variability [%] SMC2_4	Ratio H/L count SMC2_4	Ratio H/L SMC5_1	Ratio H/L normalized SMC5_1	Ratio H/L variability [%] SMC5_1	Ratio H/L count SMC5_1	Ratio H/L SMC5_3	Ratio H/L normalized SMC5_3	Ratio H/L variability [%] SMC5_3	Ratio H/L count SMC5_3	Sequence coverage CAPD3_4 [%]	Sequence coverage CAPD3_5 [%]	Sequence coverage CAPH_1 [%]	Sequence coverage CAPH_2 [%]	Sequence coverage SCC1_2 [%]	Sequence coverage SCC1_3 [%]	Sequence coverage SCC1_4 [%]	Sequence coverage SMC2_1 [%]	Sequence coverage SMC2_4 [%]	Sequence coverage SMC5_1 [%]	Sequence coverage SMC5_3 [%]	Intensity	Intensity L	Intensity H	Intensity CAPD3_4	Intensity L CAPD3_4	Intensity H CAPD3_4	Intensity CAPD3_5	Intensity L CAPD3_5	Intensity H CAPD3_5	Intensity CAPH_1	Intensity L CAPH_1	Intensity H CAPH_1	Intensity CAPH_2	Intensity L CAPH_2	Intensity H CAPH_2	Intensity SCC1_2	Intensity L SCC1_2	Intensity H SCC1_2	Intensity SCC1_3	Intensity L SCC1_3	Intensity H SCC1_3	Intensity SCC1_4	Intensity L SCC1_4	Intensity H SCC1_4	Intensity SMC2_1	Intensity L SMC2_1	Intensity H SMC2_1	Intensity SMC2_4	Intensity L SMC2_4	Intensity H SMC2_4	Intensity SMC5_1	Intensity L SMC5_1	Intensity H SMC5_1	Intensity SMC5_3	Intensity L SMC5_3	Intensity H SMC5_3
R4GIX7	+	R4GIX7	11	2	2			>tr|R4GIX7|R4GIX7_CHICK Uncharacterized protein OS=Gallus gallus GN=LOC777191 PE=4 SV=1	1	11	2	2	1	5	6	5	3	4	3	3	3	1	4	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	47.7	18.3	18.3	22.956	197	197			2			1					1	5.19E-157	0.2719	0.23378	54.14	3	NA	NA	NA	0	NA	NA	NA	0	0.24439	0.21348	12.849	2	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	1	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	0	7.1	21.3	31	21.3	14.2	29.4	21.3	22.3	14.2	7.1	23.9	69667000	52710000	16958000	0	0	0	0	0	0	65213000	49726000	15487000	0	0	0	0	0	0	4454600	2983200	1471400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R4GID9	+	R4GID9	14	14	14			>tr|R4GID9|R4GID9_CHICK CCT3 OS=Gallus gallus GN=CCT3 PE=4 SV=1	1	14	14	14	4	3	8	9	0	5	7	10	6	2	9	4	3	8	9	0	5	7	10	6	2	9	4	3	8	9	0	5	7	10	6	2	9	88.1	88.1	88.1	16.182	151	151	8	3	20	34		11	14	15	10	3	18	7.88E-189	0.82518	0.94964	49.471	110	0.80444	0.9715	16.362	4	0.49913	0.5196	14.172	3	1.2257	1.1005	16.609	17	0.79427	0.79302	17.627	25	NA	NA	NA	0	1.3222	2.3667	14.876	11	1.9235	2.235	11.826	11	0.76684	1.0628	13.013	15	0.81332	0.65724	8.2782	7	0.53928	0.71408	5.1983	3	0.39498	0.65155	19.656	14	39.7	32.5	64.9	72.2	0	47	60.3	66.2	60.3	24.5	75.5	20478000000	10592000000	9886200000	299930000	159910000	140020000	318410000	194090000	124330000	5708400000	2589300000	3119100000	3771900000	2072700000	1699300000	0	0	0	150660000	66237000	84419000	4020700000	1377800000	2642900000	170100000	95272000	74830000	1317600000	667390000	650230000	8224500	4431500	3792900	4711800000	3364500000	1347300000
R4GHX2	+	R4GHX2	17	17	17			>tr|R4GHX2|R4GHX2_CHICK PPIA OS=Gallus gallus GN=PPIA PE=4 SV=1	1	17	17	17	6	5	10	7	5	8	6	12	6	3	6	6	5	10	7	5	8	6	12	6	3	6	6	5	10	7	5	8	6	12	6	3	6	88.4	88.4	88.4	15.931	147	147	11	15	76	46	67	24	27	39	32	8	21	0	0.99788	0.97196	69.9	268	0.71691	0.87687	48.258	9	0.5123	0.52882	97.789	13	1.0274	0.93934	15.692	61	0.94107	0.92635	19.859	34	2.187	3.9716	14.353	22	1.4422	2.6214	39.177	24	2.635	3.1314	22.242	20	1.0024	1.3866	22.307	39	0.6235	0.46449	11.111	21	0.5761	0.73661	12.875	8	0.36301	0.58921	31.138	17	51.7	47.6	63.9	56.5	27.2	57.8	47.6	82.3	47.6	36.7	45.6	87163000000	45675000000	41488000000	2029400000	1083700000	945640000	5873600000	3454100000	2419500000	31709000000	16037000000	15672000000	6722600000	3459800000	3262800000	137140000	40994000	96147000	556020000	222100000	333920000	12946000000	3559100000	9387300000	1146000000	567820000	578180000	12026000000	7436800000	4589600000	79961000	47848000	32113000	13936000000	9765600000	4170700000
R4GHM4	+	R4GHM4	8	8	8			>tr|R4GHM4|R4GHM4_CHICK Uncharacterized protein OS=Gallus gallus GN=LOC100857484 PE=4 SV=1	1	8	8	8	3	2	5	6	0	3	6	5	6	1	7	3	2	5	6	0	3	6	5	6	1	7	3	2	5	6	0	3	6	5	6	1	7	35.5	35.5	35.5	25.934	228	228	4	4	26	25		3	16	10	17	1	27	6.84E-225	0.86006	0.92768	43.648	110	0.65614	0.80991	9.9904	4	0.60959	0.64126	55.102	4	1.429	1.2757	22.382	21	0.90153	0.88285	17.377	16	NA	NA	NA	0	1.1377	1.9739	43.498	3	1.8172	2.0747	24.366	13	0.78617	1.0198	11.019	9	0.85576	0.65183	20.224	13	NA	NA	NA	1	0.39912	0.6607	24.404	26	17.5	10.1	27.6	35.5	0	14.5	27.6	30.7	27.6	5.3	35.5	16428000000	8641100000	7786900000	241690000	127760000	113930000	274280000	147640000	126640000	3261600000	1351500000	1910100000	2981600000	1642400000	1339200000	0	0	0	98805000	48040000	50765000	2724900000	1019200000	1705800000	85577000	48512000	37065000	2782600000	1498600000	1283900000	5214400	3549800	1664600	3971700000	2753900000	1217800000
R4GHD9;A3R064	+	R4GHD9;A3R064	25;25	25;25	25;25	Docking protein 3	DOK3	>tr|R4GHD9|R4GHD9_CHICK Docking protein 3 OS=Gallus gallus GN=DOK3 PE=4 SV=1;>sp|A3R064|DOK3_CHICK Docking protein 3 OS=Gallus gallus GN=DOK3 PE=1 SV=1	2	25	25	25	10	8	15	20	2	6	9	13	8	3	15	10	8	15	20	2	6	9	13	8	3	15	10	8	15	20	2	6	9	13	8	3	15	64.8	64.8	64.8	47.108	426	426;426	14	11	36	45	2	9	15	20	16	5	33	0	0.55995	0.7379	51.187	173	0.97547	1.1405	16.492	10	0.69739	0.76304	20.618	9	0.45648	0.42341	74.985	27	0.53441	0.53024	30.591	39	0.69821	1.2795	14.834	2	0.79804	1.3815	13.012	8	0.93413	1.1108	14.049	12	0.38619	0.54903	23.617	20	1.0292	0.84667	47.758	13	0.77386	0.98463	18.922	5	0.51277	0.84962	43.295	28	25.4	27.9	54	57.7	6.3	20.4	27.7	39	27.2	10.6	39.2	12748000000	7235500000	5512500000	440310000	217490000	222820000	484620000	281330000	203280000	4116100000	2173400000	1942700000	3156900000	1856400000	1300500000	6141800	3841300	2300400	66897000	35602000	31295000	1046200000	517020000	529190000	125160000	89741000	35416000	1361700000	909330000	452350000	8456100	4592000	3864000	1935600000	1146800000	788760000
Q9PU55	+	Q9PU55	34	27	26		Aiolos	>tr|Q9PU55|Q9PU55_CHICK Lymphoid transcription factor OS=Gallus gallus GN=Aiolos PE=2 SV=1	1	34	27	26	9	11	20	16	2	6	4	16	6	9	10	7	9	15	13	0	4	3	13	4	8	8	7	9	14	13	0	4	3	13	4	8	8	70	61.1	59.3	55.516	494	494	13	17	35	38		5	3	20	5	9	15	0	0.70719	0.75607	46.352	133	0.5249	0.65091	46.547	11	0.79376	0.85276	16.371	12	1.1373	1.0439	40.086	28	0.76778	0.75686	36.609	32	NA	NA	NA	0	0.22961	0.36912	25.998	5	NA	NA	NA	1	0.60412	0.80253	24.599	19	0.75188	0.62661	2.7804	2	0.21901	0.28691	21.546	8	0.29884	0.49442	29.641	15	19.8	27.3	53	40.1	5.7	16.8	10.3	44.1	14.6	24.5	28.7	9049400000	5222100000	3827300000	1087700000	672370000	415360000	920000000	481330000	438670000	2976000000	1538900000	1437100000	2541000000	1432100000	1108900000	0	0	0	23424000	19651000	3772300	46988000	32282000	14706000	122670000	72858000	49811000	107500000	53557000	53943000	33725000	28612000	5112800	1190400000	890440000	299920000
Q9IAY5	+	Q9IAY5	23	23	23	Protein syndesmos	SDOS	>sp|Q9IAY5|SDOS_CHICK Protein syndesmos OS=Gallus gallus GN=SDOS PE=1 SV=3	1	23	23	23	13	13	15	17	2	13	11	18	10	6	15	13	13	15	17	2	13	11	18	10	6	15	13	13	15	17	2	13	11	18	10	6	15	64.6	64.6	64.6	33.296	314	314	26	32	53	73	5	25	18	33	20	10	34	0	0.61098	0.71006	51.426	278	0.60284	0.72767	17.558	21	0.33962	0.35859	16.135	26	0.99965	0.90186	14.276	40	0.45502	0.44682	28.761	60	0.68845	1.3056	30.732	2	1.0546	1.8943	17.008	25	1.2307	1.4536	45.942	14	0.71955	1.0153	19.438	32	0.86126	0.68065	11.638	16	0.41187	0.53291	15.083	10	0.36603	0.60096	39.693	32	46.8	46.5	46.5	50	7.3	45.5	35	61.1	29.3	23.9	56.1	34318000000	21696000000	12622000000	3049800000	1908800000	1141000000	2556600000	1874900000	681620000	4926300000	2439500000	2486800000	8014200000	5388100000	2626100000	10952000	5994300	4957900	255250000	122070000	133180000	2770100000	1296600000	1473400000	257960000	151950000	106010000	2350300000	1232200000	1118100000	23731000	16554000	7177200	10103000000	7259000000	2844100000
Q9I8D6	+	Q9I8D6	50	50	50	T-complex protein 1 subunit delta	tcp-1 delta	>tr|Q9I8D6|Q9I8D6_CHICK T-complex protein 1 subunit delta OS=Gallus gallus GN=tcp-1 delta PE=2 SV=1	1	50	50	50	6	9	28	26	2	10	19	33	19	2	27	6	9	28	26	2	10	19	33	19	2	27	6	9	28	26	2	10	19	33	19	2	27	84.7	84.7	84.7	57.736	536	536	9	18	76	90	6	20	65	58	71	5	66	0	0.92901	0.93978	58.792	412	0.67355	0.80835	45.022	6	0.40871	0.43069	33.314	14	1.1512	1.0357	33.768	70	0.85876	0.85335	30.622	75	1.963	3.47	6.9563	6	1.3405	2.4642	30.045	19	2.201	2.6345	23.638	50	1.0041	1.3589	19.368	56	0.83131	0.65437	31.001	54	0.38317	0.49464	43.254	5	0.35202	0.57735	25.754	57	13.8	18.8	64.6	62.7	4.5	25.4	46.6	73.7	39	4.9	63.4	61410000000	32549000000	28861000000	629480000	361640000	267840000	1254800000	833150000	421690000	14383000000	6687600000	7695500000	10093000000	5278700000	4814800000	3963500	1281600	2681900	309160000	137060000	172100000	8326600000	2698600000	5628000000	309620000	152270000	157350000	13213000000	6955000000	6257700000	61495000	43524000	17971000	12825000000	9400200000	3425000000
Q98SE2	+	Q98SE2	14	14	14		U2AF1	>tr|Q98SE2|Q98SE2_CHICK U2snRNP auxiliary factor small subunit OS=Gallus gallus GN=U2AF1 PE=2 SV=1	1	14	14	14	8	8	11	9	2	7	8	8	6	7	10	8	8	11	9	2	7	8	8	6	7	10	8	8	11	9	2	7	8	8	6	7	10	50.2	50.2	50.2	27.701	237	237	18	21	32	25	2	12	21	20	11	12	23	5.29E-258	0.57523	0.71794	45.88	171	0.75312	0.91226	10.877	18	0.80914	0.86425	10.591	18	0.41204	0.39103	38.105	27	0.52785	0.51732	14.175	20	0.89568	1.4435	19.062	2	0.90584	1.5756	10.03	12	1.1819	1.4001	25.418	14	0.51864	0.67534	18.561	19	0.63413	0.53389	28.556	8	0.43369	0.57061	14.915	11	0.4516	0.74045	17.951	22	45.6	45.6	50.2	42.2	9.7	40.1	35.4	47.7	29.5	45.6	45.6	23334000000	14369000000	8965300000	2836700000	1572500000	1264200000	2641300000	1404500000	1236700000	5294400000	3662000000	1632400000	2940700000	1956100000	984540000	1995700	1009000	986640	155360000	81105000	74251000	3097200000	1557600000	1539600000	204560000	132180000	72388000	1881400000	1087600000	793850000	78415000	54502000	23913000	4202100000	2859600000	1342600000
Q90835	+	Q90835	41	41	22	Elongation factor 1-alpha 1	EEF1A	>sp|Q90835|EF1A_CHICK Elongation factor 1-alpha 1 OS=Gallus gallus GN=EEF1A PE=2 SV=1	1	41	41	22	22	23	24	23	7	20	19	27	18	16	26	22	23	24	23	7	20	19	27	18	16	26	12	11	12	12	1	11	8	14	9	8	12	78.1	78.1	50.6	50.156	462	462	95	87	122	233	105	95	92	69	107	86	111	0	0.85575	0.87581	53.807	967	0.81843	0.98244	38.538	77	0.67194	0.70991	22.124	74	0.97906	0.86248	26.097	102	0.88779	0.86667	36.237	206	1.4514	2.6277	35.325	38	1.3963	2.5437	37.252	90	1.8828	2.2328	54.173	57	0.72953	0.94893	19.945	69	0.94572	0.8511	31.284	75	0.48262	0.62403	16.536	77	0.39809	0.65468	41.414	102	59.1	61.5	61.3	59.1	16.7	67.1	51.7	67.7	53.9	56.5	63.9	5.56E+11	3.11E+11	2.45E+11	69362000000	37426000000	31935000000	71378000000	42035000000	29344000000	58300000000	29051000000	29249000000	86623000000	46945000000	39678000000	277320000	113720000	163600000	7354100000	2935500000	4418600000	58393000000	19969000000	38425000000	2764600000	1567700000	1196900000	53418000000	26721000000	26697000000	3043600000	2014800000	1028800000	1.45E+11	1.02E+11	43132000000
